学科	1105199
学科	1107499
学科	1302099
学科	140299
学科	1404099
学科	1407099
学科	7603608
学科	7603607
学科	7603606
学科	2205599
学科	1104499
学科	1405599
学科	1406099
学科	1805499
学科	7503499
学科	1403599
学科	1101799
学科	8701099
学科	7603605
学科	7603609
学科	7603610
学科	4205099
学科	4602099
焊接工艺与设备	4602515
焊接工艺	4602515
铸造工艺与设备	4602510
铸造	4602510
农药工程	5306420
农药	5306420
美洲史其他学科	7705599
美洲	7705599
美洲	77055
美洲	7705510
美洲	7805040
史	7705599
史	7704560
史	7705099
史	7906740
史	7705020
史	7705010
史	71050
史	77055
史	77060
史	77065
史	77045
史	77050
史	7704530
史	7707099
史	7703010
史	7703570
史	7703545
史	7704540
史	7704550
史	7703565
史	7703550
史	7706070
史	7706099
史	8101050
史	7706010
史	7706080
史	7703015
史	7703540
史	7705540
史	8202030
史	7703040
史	7706050
史	7706020
史	84011
史	8702040
史	7703030
史	7703020
史	7704525
史	7907505
史	7706040
史	7704510
史	89010
史	7705040
史	7904560
史	7204530
史	7703515
史	7705530
史	7905550
史	7705030
史	7706060
史	8407125
史	7703520
史	7703530
史	7703535
史	7703035
史	7703510
史	8605010
史	7907350
史	7902710
史	8703010
电力拖动及其自动化	4704057
电力	4704057
自动化	4704057
自动化	45050
自动化	4704054
自动化	4131040
教材、教辅资料	9904010
教材	9904010
教材	99040
、	9904010
、	590
、	59035
、	44055
、	9901080
、	7405077
、	7405027
、	59060
、	71010
、	59030
、	77065
、	59010
、	230
、	9901060
、	9901050
、	77035
、	49085
、	58050
、	4602030
、	7203040
、	5904040
、	59025
、	1402056
、	1402035
、	5804070
、	49025
、	5904020
、	5906010
、	2106075
、	2104530
、	9906030
、	5353010
、	5404045
、	5904030
、	7804050
、	59040
、	7405081
、	5802020
、	4701020
、	5904010
、	23099
、	5902010
、	1303520
、	2301099
、	7405053
、	1301520
、	1402066
、	23010
、	7907350
、	7405018
、	7405041
、	7405037
、	7405054
、	4601540
、	7405087
、	5901510
教辅	9904010
教辅	99040
资料	9904010
政治学	810
政治学	8101050
